,match_id,duration,winner_team,match_date
0,EUW1_7345574446,1279,2,2025-03-23 17:17:26.028
1,EUW1_7345519537,2129,1,2025-03-23 16:29:36.270
2,EUW1_7345462082,1892,2,2025-03-23 15:45:25.343
3,EUW1_7345283730,2100,2,2025-03-23 12:51:39.808
4,EUW1_7345261108,1028,1,2025-03-23 12:28:20.830
5,EUW1_7345237594,1465,1,2025-03-23 11:55:32.320
6,EUW1_7345206386,1758,1,2025-03-23 11:20:20.171
7,EUW1_7345186036,1652,2,2025-03-23 10:43:50.761
8,EUW1_7345165936,1948,2,2025-03-23 10:02:14.443
9,EUW1_7344647491,2280,2,2025-03-22 20:20:18.746
10,EUW1_7344597181,1976,1,2025-03-22 19:38:22.438
11,EUW1_7344488338,1567,2,2025-03-22 17:55:32.635
12,EUW1_7344463359,901,2,2025-03-22 17:35:49.090
13,EUW1_7344422093,1785,2,2025-03-22 16:55:38.539
14,EUW1_7344381438,1718,1,2025-03-22 16:20:37.253
15,EUW1_7344344758,1924,1,2025-03-22 15:41:37.212
16,EUW1_7344307592,1798,1,2025-03-22 15:04:47.154
17,EUW1_7344198804,1728,2,2025-03-22 13:08:24.009
18,EUW1_7344165960,1710,2,2025-03-22 12:32:20.292
19,EUW1_7344109196,1452,2,2025-03-22 11:15:24.904
20,EUW1_7343499126,2549,1,2025-03-21 19:42:27.744
21,EUW1_7343462868,1903,1,2025-03-21 19:05:15.362
22,EUW1_7342532229,2104,1,2025-03-20 19:31:01.525
23,EUW1_7341574041,1727,2,2025-03-19 19:08:56.114
24,EUW1_7341534749,1201,2,2025-03-19 18:32:06.590
25,EUW1_7341427167,2628,1,2025-03-19 16:47:12.873
26,EUW1_7341396920,1816,2,2025-03-19 16:12:47.093
27,EUW1_7341227622,2187,2,2025-03-19 11:51:21.336
28,EUW1_7341201704,2024,2,2025-03-19 11:08:46.556
29,EUW1_7340631349,2028,2,2025-03-18 18:58:31.309
30,EUW1_7340595019,1772,1,2025-03-18 18:22:59.838
31,EUW1_7340492732,2028,1,2025-03-18 16:35:27.256
32,EUW1_7340461827,1662,2,2025-03-18 16:00:31.314
33,EUW1_7340446519,1006,1,2025-03-18 15:37:15.054
34,EUW1_7340420933,1154,1,2025-03-18 15:10:56.206
35,EUW1_7340284845,2146,1,2025-03-18 11:17:21.702
36,EUW1_7338645633,1674,2,2025-03-16 18:09:57.811
37,EUW1_7338593946,1620,1,2025-03-16 17:32:45.215
38,EUW1_7338553595,1614,1,2025-03-16 16:59:27.063
39,EUW1_7338235839,2474,2,2025-03-16 11:57:56.114
40,EUW1_7337340686,1730,2,2025-03-15 15:44:55.392
41,EUW1_7337144673,1230,1,2025-03-15 12:07:09.337
42,EUW1_7337105099,2069,2,2025-03-15 11:15:21.398
43,EUW1_7337086724,1655,1,2025-03-15 10:36:37.860
44,EUW1_7337067091,1465,2,2025-03-15 10:03:32.102
45,EUW1_7336365069,2339,2,2025-03-14 17:51:33.902
