,puuid,name,tagline,tier,rank,lp,wins,losses,last_updated
0,aNP8068s6OONzaMUW88qvzBGWE0sFsoz-AqBHVXXyiC1tVuYXFKphdvlwVD2N1kRVEsQWeIqLiloUw,Bulkatogs,Mafia,DIAMOND,IV,57.0,257.0,239.0,2025-03-25 13:50:09.214567
1,uKlRiqstCT2VOt75hPmBk796309iFq5PU0MsrCjlwMSdBbVanic2hGwBIKnW6gNCsa0pbRDI3PoLDQ,omido,8885,DIAMOND,IV,0.0,77.0,79.0,2025-03-25 13:50:09.508840
2,2uMPL5uYl42_SebAuY9-FCgA41z4s7r1UNSv7XWCpD-zK1j0XNjQDth0aQSYFhuq2ukAzrKIu5_CmQ,Sfarda,EUWE,EMERALD,I,59.0,73.0,63.0,2025-03-25 13:50:09.589951
3,4ceQ-SVufLXMIWZMB_-MiYTlzVE5lFn7Xy6dZ1ULXaWzwVOzdYvpJvd_uoHHCHBm61nr1h68IiekHg,Knullar Lol,4498,DIAMOND,IV,37.0,76.0,78.0,2025-03-25 13:50:09.675990
4,-V5UK3uV-WveZfz8AvsZ0av8EpbLVcS7cOmfzwHmheYgfgH9VYw1XWtFZCIXFKdYcb4siLtlW3R8pg,SkinnyPeeeni,EUW,EMERALD,I,94.0,38.0,46.0,2025-03-25 13:50:09.766993
5,KuRKpoIXoXGzfo3X2d5Bth7JqDkGXfxmxWYegUJTEgLCgXA5kMWmUAlhsMp3BgGHysjfWwQdZQtB1A,JusdeBagarre,UFC94,DIAMOND,IV,32.0,173.0,120.0,2025-03-25 13:50:09.855585
6,-8m7G8Rry3OvFfVdN68MXuJkR6Y4_qFOjvsYfCAYxODEcSznCLhjf47mxvbhqK3JqiBzm0UMlDoUgQ,derfish12345,EUW,EMERALD,II,93.0,23.0,20.0,2025-03-25 13:50:09.944599
7,F_lo6j0pXHvEFW3SGHXnbmOQxnhX7J9-tODVbg5sShTuzgs8ib522saff9Qdz8KGPN6zlnJogqqH1A,abram155,EUW,DIAMOND,IV,19.0,52.0,56.0,2025-03-25 13:50:10.030690
8,fB0jo-4G1bi2IjVZeprrWXQklhjf9MrYyl0Oh_xg2P0dW9bXdIQTJ1SyWLKJN2C7_yxCJswrRXOdpg,Flammenhai,EUW,GOLD,III,64.0,4.0,6.0,2025-03-25 13:50:10.134552
9,XAA9Lh1hFtlrSGL_JELC8AT8I3a8Dn1W1uFrC2NnfbRabODPN0sI6MEwCqJjHMQCo-ypOrv2Ofs_rA,Patrick Star,Rick,DIAMOND,IV,22.0,40.0,48.0,2025-03-25 13:50:10.217491
10,6_I6uU97FhdlsAfoa0xYDwb1AEp1o0NCT2jIpPsIcyHy8NTNamZuBAz1VNmkdTJ_2VkzYjIwJkXOhw,Gaiereoratisdo,EUW,EMERALD,II,42.0,17.0,11.0,2025-03-25 13:50:10.306383
11,7XcndUZH-TnX9hK7JoFPtXQfqliXpCaoN9sekY03JppH2ql7RItNDrq5ZRYqsX-D347STzml_tjROg,AsperAlex,EUW,DIAMOND,IV,18.0,127.0,114.0,2025-03-25 13:50:10.825181
12,sw7Vu0zyZWauGgVUTw2WZkVL-9XSFMOrJxTkCzONzIaGNHJ_fwC5EQNVYEUVlFofle0VWgVQMbJkxQ,yoyomano,EUW,DIAMOND,IV,28.0,73.0,60.0,2025-03-25 13:50:10.919833
13,AhlZa5R7Dag4DZFeVjWxJPp1upoIkH_4o8y1gQhYBw2agvndGzdUqitR1d5Grlj0k8c0e9IFTyDKyw,Franc White,EUW,EMERALD,I,29.0,26.0,27.0,2025-03-25 13:50:11.018665
14,aehDhi1oT4DxtyUw4jTYZX-LIPRiMnMs7EnTLcESPxJtWbHUyBMEVc_Q1bSv4_veEEik0ffFkxI6_A,pepsi,plapp,DIAMOND,IV,0.0,55.0,59.0,2025-03-25 13:50:11.124070
15,VQ1sBA1rE1MTzEQfEbYubYM6IUKJyUZWtWeYxzVttdx-kwZghBqzLT7XV1SqZheYu2y2Ez7tAxNP-g,purple arc,Nrkos,EMERALD,I,93.0,63.0,61.0,2025-03-25 13:50:11.217689
16,XhBhvnUcbJlt7IKu5GnI2w8ZoB2ym1VuNYLu2DnrHBReeyHO3nEAbeMcLumEpHfwI4dbYIDljLyYyA,grega2,EUW,EMERALD,II,63.0,25.0,17.0,2025-03-25 13:50:11.324157
17,uYdRwedCYK_2eT6BUMUxuBf3gL1txz666zRfilcs5NO9KTMuN1N5RCdhMLhCjJmNikKyJ360odTLRg,FOSKYMAR1CA,POLNO,EMERALD,III,40.0,7.0,8.0,2025-03-25 13:50:11.415342
18,GTZr7jpNF2R9wMtbSS3XGB2LcHxfAnWN5LyA0dSNZKR5sg4g32tCvg96lv9LwU9iTBCrN0oHRrY0fA,Wazaa7N,EUW,DIAMOND,IV,75.0,134.0,116.0,2025-03-25 13:50:11.514964
19,xwbOgACteUCWaDOHFLb_p8AWQ25D2TnHu2doGqr2-LEZYuibwtVjBfRKCqLLDGU2bic8vri_oVjyaA,yeijirohsama,EUW,DIAMOND,IV,0.0,47.0,43.0,2025-03-25 13:50:11.601670
20,-LTDzRhgjxT8oRVFtdV7UpjQeB0trV1XF4_QkUDBMBZof4pc18rt55UItEN_HAz6k5mE6fcAajuAUA,NG Khazoki,EUW,DIAMOND,IV,19.0,102.0,102.0,2025-03-25 13:50:11.883260
21,qKI_KKNhNDgICEjgRzz3MtgCoyJWYx55tRd_2WZOGZNP9s9r1iC5eXeUU-aIiPxflJFAOrLg1RLB2A,TonyGato,EUNE,EMERALD,I,10.0,36.0,41.0,2025-03-25 13:50:11.969685
22,aJMVyCNQ_ZbVigt19unmEHpCHyOP6NTfFQeFYwJtJ8_FBqwjPfYENySE4tuguZ_QHcydBdalgKyc3w,Holmesss,EUW,EMERALD,I,53.0,84.0,89.0,2025-03-25 13:50:12.043813
23,FehwKhhzHvbYP5eN99PTj9j4Rc_ItPlDgX62TVW5LaG8Rc2iKt1WQfFlGmDR9srEQbGn0Vd7c2oaQw,Andrewtroxx,2003,EMERALD,IV,17.0,26.0,25.0,2025-03-25 13:50:12.147334
24,7MQ00APtL5swBzmoKQxhaGVpbTgYXQjUi01yMcxklH136o6YLuYi0mmVajn9mJUw1vl3OnPn0PHqRg,TheCB5,Quäst,DIAMOND,IV,16.0,94.0,105.0,2025-03-25 13:50:12.233352
25,96C1DZDt-BWnPFrP_bWvNNwL0aYAgCBapRKR8aKxufeimaytEAW_lg-QVvxo9W9tSL0ivKPExeAQVQ,Rin tohsaka,アカメ桜島,DIAMOND,IV,77.0,49.0,35.0,2025-03-25 13:50:12.313539
26,hy0lI06juQWu5WejO--fSUopMYlZAqwZjEisBd0ZF5pZRLJ6EN86geOxmDQUW4nEKSkPscOfOA3D-Q,Tunoy,EUW,DIAMOND,IV,96.0,97.0,93.0,2025-03-25 13:50:12.396108
27,JtKSRbxRzddR5lpji52AKutmZqA5BCqXlxVZ8Nbxu7gNy8nFyuuwgvWk3Jk4WS4FKqgvJhyv2tk1Lg,Botsupport,Bot,DIAMOND,IV,21.0,34.0,39.0,2025-03-25 13:50:12.473374
28,8bGMsm_J-umCgPFaI-0_VHd5lX7HEDAnUTbTE_62nlf8Fg0AaKPe_7nBdYse60ebtZ-wBv2CWBUUCQ,EstoyBueno,EUW,EMERALD,II,93.0,16.0,17.0,2025-03-25 13:50:12.564930
29,hAXLXBOilr7YOonuGOuoNDZUyPg7tF9TEkNwWtJvTj7y4c6dmrnvaGAhTf7azPltGjNXFiH26JHumQ,Lord Loss,slug,DIAMOND,IV,0.0,358.0,356.0,2025-03-25 13:50:12.907217
